period,provider_name,provider_name_raw,encounter_count,total_wrvu,shifts_worked,hours_worked,location
2023-04,"Carver, Elena","Carver, Elena",67,217.07,,,CCD
2023-04,"Chen, David","Chen, David",105,383.72,,,CCD
2023-04,"Cheng, Michelle","Cheng, Michelle",156,526.39,,,CCD
2023-04,"Cordova, Isabel","Cordova, Isabel",58,213.43,,,CCD
2023-04,"Daley, Kevin","Daley, Kevin",104,342.56,,,CCD
2023-04,"Denton, Rachel","Denton, Rachel",114,386.67,,,CCD
2023-04,"Devlin, Sean","Devlin, Sean",172,552.19,,,CCD
2023-04,"Donovan, Laura","Donovan, Laura",135,448.13,,,CCD
2023-04,"Farley, Christopher","Farley, Christopher",37,129.75,,,CCD
2023-04,"Garrett, Steven","Garrett, Steven",26,82.38,,,CCD
2023-04,"Graves, Anya","Graves, Anya",18,45.71,,,CCD
2023-04,"Griffin, Jonathan","Griffin, Jonathan",79,281.33,,,CCD
2023-04,"Hale, Samantha","Hale, Samantha",143,486.03,,,CCD
2023-04,"Hammond, Derek","Hammond, Derek",96,330.23,,,CCD
2023-04,"Harmon, Julia","Harmon, Julia",100,302.64,,,CCD
2023-04,"Hassan, Omar","Hassan, Omar",162,617.64,,,CCD
2023-04,"Henderson, Paul","Henderson, Paul",71,249.18,,,CCD
2023-04,"Holloway, Timothy","Holloway, Timothy",103,321.63,,,CCD
2023-04,"Hudson, Gregory","Hudson, Gregory",214,675.33,,,CCD
2023-04,"Hughes, Nadia","Hughes, Nadia",39,133.29,,,CCD
2023-04,"Jordan, Matthew","Jordan, Matthew",98,316.09,,,CCD
2023-04,"Kaufman, Rebecca","Kaufman, Rebecca",131,429.36,,,CCD
2023-04,"Kent, Daniel","Kent, Daniel",46,170.39,,,CCD
2023-04,"Kimura, Leslie","Kimura, Leslie",238,843.257,,,CCD
2023-04,"Lawson, Charles","Lawson, Charles",123,390.15,,,CCD
2023-04,"Lim, Angela","Lim, Angela",144,488.09,,,CCD
2023-04,"Logan, Benjamin","Logan, Benjamin",96,306.61,,,CCD
2023-04,"Manning, Carolyn","Manning, Carolyn",108,359.07,,,CCD
2023-04,"McCoy, Ethan","McCoy, Ethan",145,521.78,,,CCD
2023-04,"Monroe, Brian","Monroe, Brian",233,625.18,,,CCD
2023-04,"Morton, Andrew","Morton, Andrew",165,581.6105,,,CCD
2023-04,"Nash, Vanessa","Nash, Vanessa",145,478.16,,,CCD
2023-04,"Oliver, Jason","Oliver, Jason",215,775.39,,,CCD
2023-04,"Ortega, Carmen","Ortega, Carmen",152,485.76,,,CCD
2023-04,"Quinn, Robert","Quinn, Robert",23,74.14,,,CCD
2023-04,"Reyes, Diana","Reyes, Diana",23,83.41,,,CCD
2023-04,"Robinson, Tanya","Robinson, Tanya",80,251.31,,,CCD
2023-04,"Santos, Marisol","Santos, Marisol",181,639.48,,,CCD
2023-04,"Sato, Hiroshi","Sato, Hiroshi",92,252.98,,,CCD
2023-05,"Aldridge, Marcus","Aldridge, Marcus",87,331.42,,,CCD
2023-05,"Beckett, James","Beckett, James",50,158.35,,,CCD
2023-05,"Carver, Elena","Carver, Elena",118,395.3555,,,CCD
2023-05,"Chen, David","Chen, David",120,417.54,,,CCD
2023-05,"Cheng, Michelle","Cheng, Michelle",78,238.16,,,CCD
2023-05,"Cordova, Isabel","Cordova, Isabel",40,136.5,,,CCD
2023-05,"Daley, Kevin","Daley, Kevin",123,436.58,,,CCD
2023-05,"Denton, Rachel","Denton, Rachel",133,427.63,,,CCD
2023-05,"Devlin, Sean","Devlin, Sean",157,533.43,,,CCD
2023-05,"Donovan, Laura","Donovan, Laura",192,629.41,,,CCD
2023-05,"Farley, Christopher","Farley, Christopher",42,134.65,,,CCD
2023-05,"Garrett, Steven","Garrett, Steven",27,82.69,,,CCD
2023-05,"Graves, Anya","Graves, Anya",20,63.89,,,CCD
2023-05,"Griffin, Jonathan","Griffin, Jonathan",43,158.98,,,CCD
2023-05,"Hale, Samantha","Hale, Samantha",153,506.45,,,CCD
2023-05,"Hammond, Derek","Hammond, Derek",117,414.711,,,CCD
2023-05,"Harmon, Julia","Harmon, Julia",174,514.5,,,CCD
2023-05,"Hassan, Omar","Hassan, Omar",216,797.52,,,CCD
2023-05,"Henderson, Paul","Henderson, Paul",70,258.81,,,CCD
2023-05,"Holloway, Timothy","Holloway, Timothy",88,273.13,,,CCD
2023-05,"Hudson, Gregory","Hudson, Gregory",204,634.85,,,CCD
2023-05,"Hughes, Nadia","Hughes, Nadia",56,212.16,,,CCD
2023-05,"Jordan, Matthew","Jordan, Matthew",143,431.71,,,CCD
2023-05,"Kaufman, Rebecca","Kaufman, Rebecca",124,417.33,,,CCD
2023-05,"Kent, Daniel","Kent, Daniel",58,204.52,,,CCD
2023-05,"Kimura, Leslie","Kimura, Leslie",188,636.872,,,CCD
2023-05,"Lawson, Charles","Lawson, Charles",107,362.87,,,CCD
2023-05,"Lim, Angela","Lim, Angela",136,451.16,,,CCD
2023-05,"Logan, Benjamin","Logan, Benjamin",81,234.65,,,CCD
2023-05,"Manning, Carolyn","Manning, Carolyn",99,324.29,,,CCD
2023-05,"McCoy, Ethan","McCoy, Ethan",202,676.84,,,CCD
2023-05,"Monroe, Brian","Monroe, Brian",217,617.1005,,,CCD
2023-05,"Morton, Andrew","Morton, Andrew",33,106.6,,,CCD
2023-05,"Nash, Vanessa","Nash, Vanessa",175,553.43,,,CCD
2023-05,"Oliver, Jason","Oliver, Jason",140,469.57,,,CCD
2023-05,"Ortega, Carmen","Ortega, Carmen",190,670.07,,,CCD
2023-05,"Park, Jennifer","Park, Jennifer",23,66.64,,,CCD
2023-05,"Patel, Rahul","Patel, Rahul",159,501.27,,,CCD
2023-05,"Quinn, Robert","Quinn, Robert",39,130.58,,,CCD
2023-05,"Reyes, Diana","Reyes, Diana",52,187.48,,,CCD
2023-05,"Robinson, Tanya","Robinson, Tanya",61,209.72,,,CCD
2023-05,"Santos, Marisol","Santos, Marisol",267,896.54,,,CCD
2023-05,"Sato, Hiroshi","Sato, Hiroshi",160,485.69,,,CCD
2023-06,"Aldridge, Marcus","Aldridge, Marcus",122,420.86,,,CCD
2023-06,"Beckett, James","Beckett, James",100,320.23,,,CCD
2023-06,"Carver, Elena","Carver, Elena",81,296.931,,,CCD
2023-06,"Chen, David","Chen, David",106,385.48,,,CCD
2023-06,"Cheng, Michelle","Cheng, Michelle",117,379.5,,,CCD
2023-06,"Cordova, Isabel","Cordova, Isabel",40,140.2,,,CCD
2023-06,"Daley, Kevin","Daley, Kevin",109,365.98,,,CCD
2023-06,"Denton, Rachel","Denton, Rachel",113,424.19,,,CCD
2023-06,"Devlin, Sean","Devlin, Sean",148,493.54,,,CCD
2023-06,"Donovan, Laura","Donovan, Laura",126,427.87,,,CCD
2023-06,"Farley, Christopher","Farley, Christopher",48,155.61,,,CCD
2023-06,"Garrett, Steven","Garrett, Steven",29,88.42,,,CCD
2023-06,"Graves, Anya","Graves, Anya",48,160.64,,,CCD
2023-06,"Griffin, Jonathan","Griffin, Jonathan",49,159.72,,,CCD
2023-06,"Hale, Samantha","Hale, Samantha",110,369.65,,,CCD
2023-06,"Hammond, Derek","Hammond, Derek",98,350.69,,,CCD
2023-06,"Harmon, Julia","Harmon, Julia",117,370.96,,,CCD
2023-06,"Hassan, Omar","Hassan, Omar",203,776.79,,,CCD
2023-06,"Henderson, Paul","Henderson, Paul",35,120.5,,,CCD
2023-06,"Holloway, Timothy","Holloway, Timothy",134,431.41,,,CCD
2023-06,"Hudson, Gregory","Hudson, Gregory",234,742.11,,,CCD
2023-06,"Hughes, Nadia","Hughes, Nadia",61,200.07,,,CCD
2023-06,"Jordan, Matthew","Jordan, Matthew",161,471.18,,,CCD
2023-06,"Kaufman, Rebecca","Kaufman, Rebecca",105,347.71,,,CCD
2023-06,"Kent, Daniel","Kent, Daniel",39,143.2,,,CCD
2023-06,"Kimura, Leslie","Kimura, Leslie",184,616.9005,,,CCD
2023-06,"Lawson, Charles","Lawson, Charles",130,464.49,,,CCD
2023-06,"Lim, Angela","Lim, Angela",106,331.55,,,CCD
2023-06,"Logan, Benjamin","Logan, Benjamin",65,200.52,,,CCD
2023-06,"McCoy, Ethan","McCoy, Ethan",145,490.09,,,CCD
2023-06,"Monroe, Brian","Monroe, Brian",215,597.73,,,CCD
2023-06,"Morton, Andrew","Morton, Andrew",90,305.22,,,CCD
2023-06,"Nash, Vanessa","Nash, Vanessa",139,469.01,,,CCD
2023-06,"Oliver, Jason","Oliver, Jason",99,344.37,,,CCD
2023-06,"Ortega, Carmen","Ortega, Carmen",176,576.62,,,CCD
2023-06,"Park, Jennifer","Park, Jennifer",6,19.46,,,CCD
2023-06,"Patel, Rahul","Patel, Rahul",219,709.98,,,CCD
2023-06,"Quinn, Robert","Quinn, Robert",34,120.73,,,CCD
2023-06,"Reyes, Diana","Reyes, Diana",48,170.58,,,CCD
2023-06,"Robinson, Tanya","Robinson, Tanya",55,179.83,,,CCD
2023-06,"Santos, Marisol","Santos, Marisol",197,649.77,,,CCD
2023-06,"Sato, Hiroshi","Sato, Hiroshi",68,205.1,,,CCD
2023-07,"Aldridge, Marcus","Aldridge, Marcus",62,214.65,,,CCD
2023-07,"Beckett, James","Beckett, James",61,216.62,,,CCD
2023-07,"Carver, Elena","Carver, Elena",81,259.17,,,CCD
2023-07,"Chen, David","Chen, David",86,309.2105,,,CCD
2023-07,"Cheng, Michelle","Cheng, Michelle",104,351.87,,,CCD
2023-07,"Cordova, Isabel","Cordova, Isabel",56,206.33,,,CCD
2023-07,"Daley, Kevin","Daley, Kevin",124,410.03,,,CCD
2023-07,"Denton, Rachel","Denton, Rachel",137,466.89,,,CCD
2023-07,"Devlin, Sean","Devlin, Sean",146,490.55,,,CCD
2023-07,"Donovan, Laura","Donovan, Laura",121,379.81,,,CCD
2023-07,"Farley, Christopher","Farley, Christopher",67,221.98,,,CCD
2023-07,"Garrett, Steven","Garrett, Steven",25,81.84,,,CCD
2023-07,"Gibson, Amanda","Gibson, Amanda",56,209.62,,,CCD
2023-07,"Graves, Anya","Graves, Anya",57,197.32,,,CCD
2023-07,"Griffin, Jonathan","Griffin, Jonathan",47,155.68,,,CCD
2023-07,"Hale, Samantha","Hale, Samantha",107,380.54,,,CCD
2023-07,"Hammond, Derek","Hammond, Derek",138,522.85,,,CCD
2023-07,"Harmon, Julia","Harmon, Julia",110,345.44,,,CCD
2023-07,"Hassan, Omar","Hassan, Omar",195,738.04,,,CCD
2023-07,"Holloway, Timothy","Holloway, Timothy",107,369.68,,,CCD
2023-07,"Hudson, Gregory","Hudson, Gregory",177,542.02,,,CCD
2023-07,"Hughes, Nadia","Hughes, Nadia",49,173.53,,,CCD
2023-07,"Jensen, Alicia","Jensen, Alicia",93,281.95,,,CCD
2023-07,"Jordan, Matthew","Jordan, Matthew",143,447.81,,,CCD
2023-07,"Kaufman, Rebecca","Kaufman, Rebecca",193,628.35,,,CCD
2023-07,"Kent, Daniel","Kent, Daniel",48,169.68,,,CCD
2023-07,"Kimura, Leslie","Kimura, Leslie",191,657.6315,,,CCD
2023-07,"Lawson, Charles","Lawson, Charles",108,370.57,,,CCD
2023-07,"Lim, Angela","Lim, Angela",124,404.58,,,CCD
2023-07,"McCoy, Ethan","McCoy, Ethan",149,522.28,,,CCD
2023-07,"Monroe, Brian","Monroe, Brian",175,568.38,,,CCD
2023-07,"Morton, Andrew","Morton, Andrew",106,385.99,,,CCD
2023-07,"Nash, Vanessa","Nash, Vanessa",114,371.1,,,CCD
2023-07,"Oliver, Jason","Oliver, Jason",144,501.24,,,CCD
2023-07,"Ortega, Carmen","Ortega, Carmen",151,521.23,,,CCD
2023-07,"Patel, Rahul","Patel, Rahul",96,305.02,,,CCD
2023-07,"Quinn, Robert","Quinn, Robert",30,107.25,,,CCD
2023-07,"Reyes, Diana","Reyes, Diana",32,105.06,,,CCD
2023-07,"Rivera, Carlos","Rivera, Carlos",83,269.98,,,CCD
2023-07,"Robinson, Tanya","Robinson, Tanya",30,99.66,,,CCD
2023-07,"Santos, Marisol","Santos, Marisol",204,676.76,,,CCD
2023-07,"Sato, Hiroshi","Sato, Hiroshi",138,387.9,,,CCD
2023-08,"Aldridge, Marcus","Aldridge, Marcus",59,216.66,,,CCD
2023-08,"Beckett, James","Beckett, James",132,415.42,,,CCD
2023-08,"Carver, Elena","Carver, Elena",76,259.17,,,CCD
2023-08,"Chen, David","Chen, David",113,410.6905,,,CCD
2023-08,"Cheng, Michelle","Cheng, Michelle",143,465.13,,,CCD
2023-08,"Cordova, Isabel","Cordova, Isabel",67,234.41,,,CCD
2023-08,"Daley, Kevin","Daley, Kevin",84,240.85,,,CCD
2023-08,"Denton, Rachel","Denton, Rachel",92,288.0,,,CCD
2023-08,"Devlin, Sean","Devlin, Sean",201,674.36,,,CCD
2023-08,"Donovan, Laura","Donovan, Laura",145,485.91,,,CCD
2023-08,"Farley, Christopher","Farley, Christopher",43,152.41,,,CCD
2023-08,"Garrett, Steven","Garrett, Steven",24,85.7,,,CCD
2023-08,"Gibson, Amanda","Gibson, Amanda",79,289.23,,,CCD
2023-08,"Graves, Anya","Graves, Anya",48,168.73,,,CCD
2023-08,"Griffin, Jonathan","Griffin, Jonathan",62,222.28,,,CCD
2023-08,"Hale, Samantha","Hale, Samantha",94,308.81,,,CCD
2023-08,"Hammond, Derek","Hammond, Derek",130,524.33,,,CCD
2023-08,"Harmon, Julia","Harmon, Julia",106,281.9205,,,CCD
2023-08,"Hassan, Omar","Hassan, Omar",191,739.34,,,CCD
2023-08,"Holloway, Timothy","Holloway, Timothy",113,351.31,,,CCD
2023-08,"Hudson, Gregory","Hudson, Gregory",202,645.73,,,CCD
2023-08,"Hughes, Nadia","Hughes, Nadia",65,212.92,,,CCD
2023-08,"Jensen, Alicia","Jensen, Alicia",116,376.1,,,CCD
2023-08,"Jordan, Matthew","Jordan, Matthew",91,273.73,,,CCD
2023-08,"Kaufman, Rebecca","Kaufman, Rebecca",175,587.07,,,CCD
2023-08,"Kent, Daniel","Kent, Daniel",35,143.41,,,CCD
2023-08,"Kimura, Leslie","Kimura, Leslie",235,744.4565,,,CCD
2023-08,"Lawson, Charles","Lawson, Charles",103,348.77,,,CCD
2023-08,"Lim, Angela","Lim, Angela",131,434.52,,,CCD
2023-08,"Manning, Carolyn","Manning, Carolyn",99,297.67,,,CCD
2023-08,"McCoy, Ethan","McCoy, Ethan",152,508.34,,,CCD
2023-08,"Monroe, Brian","Monroe, Brian",201,561.81,,,CCD
2023-08,"Morton, Andrew","Morton, Andrew",106,374.87,,,CCD
2023-08,"Nash, Vanessa","Nash, Vanessa",129,443.26,,,CCD
2023-08,"Oliver, Jason","Oliver, Jason",125,416.58,,,CCD
2023-08,"Ortega, Carmen","Ortega, Carmen",85,287.75,,,CCD
2023-08,"Park, Jennifer","Park, Jennifer",25,76.18,,,CCD
2023-08,"Quinn, Robert","Quinn, Robert",36,132.13,,,CCD
2023-08,"Reyes, Diana","Reyes, Diana",57,178.6,,,CCD
2023-08,"Rivera, Carlos","Rivera, Carlos",87,268.74,,,CCD
2023-08,"Robinson, Tanya","Robinson, Tanya",89,297.84,,,CCD
2023-08,"Santos, Marisol","Santos, Marisol",141,444.93,,,CCD
2023-08,"Sato, Hiroshi","Sato, Hiroshi",131,395.96,,,CCD
2023-09,"Aldridge, Marcus","Aldridge, Marcus",76,276.72,,,CCD
2023-09,"Beckett, James","Beckett, James",74,246.75,,,CCD
2023-09,"Carver, Elena","Carver, Elena",108,368.62,,,CCD
2023-09,"Chen, David","Chen, David",85,279.3,,,CCD
2023-09,"Cheng, Michelle","Cheng, Michelle",135,440.92,,,CCD
2023-09,"Cordova, Isabel","Cordova, Isabel",57,201.06,,,CCD
2023-09,"Daley, Kevin","Daley, Kevin",162,527.45,,,CCD
2023-09,"Denton, Rachel","Denton, Rachel",98,327.11,,,CCD
2023-09,"Devlin, Sean","Devlin, Sean",201,670.55,,,CCD
2023-09,"Donovan, Laura","Donovan, Laura",142,432.85,,,CCD
2023-09,"Farley, Christopher","Farley, Christopher",41,146.58,,,CCD
2023-09,"Garrett, Steven","Garrett, Steven",20,64.25,,,CCD
2023-09,"Gibson, Amanda","Gibson, Amanda",68,228.18,,,CCD
2023-09,"Graves, Anya","Graves, Anya",63,198.27,,,CCD
2023-09,"Griffin, Jonathan","Griffin, Jonathan",88,329.62,,,CCD
2023-09,"Hale, Samantha","Hale, Samantha",118,391.03,,,CCD
2023-09,"Hammond, Derek","Hammond, Derek",140,517.78,,,CCD
2023-09,"Harmon, Julia","Harmon, Julia",102,270.21,,,CCD
2023-09,"Hassan, Omar","Hassan, Omar",206,779.48,,,CCD
2023-09,"Holloway, Timothy","Holloway, Timothy",76,251.28,,,CCD
2023-09,"Hudson, Gregory","Hudson, Gregory",217,662.9707,,,CCD
2023-09,"Hughes, Nadia","Hughes, Nadia",62,223.06,,,CCD
2023-09,"Jensen, Alicia","Jensen, Alicia",143,439.61,,,CCD
2023-09,"Jordan, Matthew","Jordan, Matthew",126,379.63,,,CCD
2023-09,"Kaufman, Rebecca","Kaufman, Rebecca",130,421.43,,,CCD
2023-09,"Kent, Daniel","Kent, Daniel",53,195.76,,,CCD
2023-09,"Kimura, Leslie","Kimura, Leslie",117,364.686,,,CCD
2023-09,"Lawson, Charles","Lawson, Charles",115,404.38,,,CCD
2023-09,"Lim, Angela","Lim, Angela",86,259.49,,,CCD
2023-09,"Manning, Carolyn","Manning, Carolyn",54,175.06,,,CCD
2023-09,"McCoy, Ethan","McCoy, Ethan",172,575.16,,,CCD
2023-09,"Monroe, Brian","Monroe, Brian",208,575.03,,,CCD
2023-09,"Morton, Andrew","Morton, Andrew",76,268.45,,,CCD
2023-09,"Nash, Vanessa","Nash, Vanessa",149,527.34,,,CCD
2023-09,"Oliver, Jason","Oliver, Jason",176,621.29,,,CCD
2023-09,"Quinn, Robert","Quinn, Robert",31,103.96,,,CCD
2023-09,"Reyes, Diana","Reyes, Diana",43,150.2,,,CCD
2023-09,"Rivera, Carlos","Rivera, Carlos",98,251.58,,,CCD
2023-09,"Robinson, Tanya","Robinson, Tanya",99,350.59,,,CCD
2023-09,"Santos, Marisol","Santos, Marisol",129,399.6,,,CCD
2023-09,"Sato, Hiroshi","Sato, Hiroshi",171,483.37,,,CCD
2023-10,"Aldridge, Marcus","Aldridge, Marcus",69,237.57,,,CCD
2023-10,"Beckett, James","Beckett, James",77,253.67,,,CCD
2023-10,"Carver, Elena","Carver, Elena",55,195.28,,,CCD
2023-10,"Chen, David","Chen, David",108,385.05,,,CCD
2023-10,"Cheng, Michelle","Cheng, Michelle",101,340.27,,,CCD
2023-10,"Cordova, Isabel","Cordova, Isabel",36,126.04,,,CCD
2023-10,"Daley, Kevin","Daley, Kevin",112,365.37,,,CCD
2023-10,"Denton, Rachel","Denton, Rachel",138,481.2,,,CCD
